"filename", "language", "Markdown", "Python", "JSON Lines", "pip requirements", "YAML", "comment", "blank", "total"
"/Users/arjansingh/Wharton/CALENDAR_CRASH_FIX.md", "Markdown", 283, 0, 0, 0, 0, 0, 78, 361
"/Users/arjansingh/Wharton/CHANGELOG.md", "Markdown", 197, 0, 0, 0, 0, 0, 47, 244
"/Users/arjansingh/Wharton/CONSISTENT_PRICE_COLUMNS_FIX.md", "Markdown", 124, 0, 0, 0, 0, 0, 34, 158
"/Users/arjansingh/Wharton/EVENT_CALENDAR_FIX.md", "Markdown", 230, 0, 0, 0, 0, 0, 69, 299
"/Users/arjansingh/Wharton/GOOGLE_SHEETS_SETUP.md", "Markdown", 108, 0, 0, 0, 0, 0, 46, 154
"/Users/arjansingh/Wharton/METRICS_DISPLAY_FIX.md", "Markdown", 173, 0, 0, 0, 0, 0, 51, 224
"/Users/arjansingh/Wharton/MULTI_STOCK_QA_ARCHIVE_FIX.md", "Markdown", 158, 0, 0, 0, 0, 0, 41, 199
"/Users/arjansingh/Wharton/OPTIMIZATION_COMPLETED.md", "Markdown", 122, 0, 0, 0, 0, 0, 29, 151
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_ALL_STOCKS_FIX.md", "Markdown", 174, 0, 0, 0, 0, 0, 45, 219
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_BUGFIXES.md", "Markdown", 219, 0, 0, 0, 0, 0, 50, 269
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_DEBUGGING.md", "Markdown", 234, 0, 0, 0, 0, 0, 75, 309
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_DEBUG_FIX.md", "Markdown", 151, 0, 0, 0, 0, 0, 45, 196
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_ENGINE.md", "Markdown", 286, 0, 0, 0, 0, 0, 84, 370
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_FINAL_FIX.md", "Markdown", 174, 0, 0, 0, 0, 0, 59, 233
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_IMPLEMENTATION.md", "Markdown", 241, 0, 0, 0, 0, 0, 54, 295
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_QUICKSTART.md", "Markdown", 142, 0, 0, 0, 0, 0, 46, 188
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_ROBUST_CALCULATION.md", "Markdown", 269, 0, 0, 0, 0, 0, 80, 349
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_WORKSHEET_FIX.md", "Markdown", 124, 0, 0, 0, 0, 0, 34, 158
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_WORKSHEET_SETUP.md", "Markdown", 135, 0, 0, 0, 0, 0, 52, 187
"/Users/arjansingh/Wharton/PERFORMANCE_OPTIMIZATION.md", "Markdown", 106, 0, 0, 0, 0, 0, 38, 144
"/Users/arjansingh/Wharton/POLYGON_PRICE_OPTIMIZATION.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/arjansingh/Wharton/PORTFOLIO_OPTIMIZATION_PLAN.md", "Markdown", 221, 0, 0, 0, 0, 0, 65, 286
